,date,title,feed_type,link,news,Predicted Sentiment,Sentiment Probability
10,2018-01-17,"Bengal Global Business Summit generates investment proposals of Rs 2.19 trn | West Bengal receives Rs 17,000 cr investment proposals on BGBS day one",news-article | news-article,http://www.business-standard.com/article/economy-policy/bengal-global-business-summit-generates-investment-proposals-of-rs-2-19-trn-118011700624_1.html | http://www.moneycontrol.com/news/business/west-bengal-receives-rs-17000-cr-investment-proposals-on-bgbs-day-one-2484665.html,"Bengal Global Business Summit (BGBS) made investment proposals of Rs 2.19 lakh crore with top industrial houses like Reliance Industries. Know more on Bengal Global Business Summit. | Reliance Industries Chairman Mukesh Ambani announced an investment of Rs 5,000 crore in retail and petroleum outlets, while JSW Group Chief Sajjan Jindal said the state would receive investments worth Rs 10,000 crore in cement capacity expansion, steel, paints and power over the next 3-4 years.",positive,0.674716
11,2018-01-18,"Reliance Industries, BP seek out customers for gas from R-series field in KG basin",news-article,http://www.livemint.com/Industry/UVRbMnDfkqJ1an9ovrDJyO/Reliance-Industries-BP-seek-out-customers-for-gas-from-Rse.html,"Reliance Industries (RIL) and BP Plc will sell gas through India Gas Solutions (IGS), an equal joint venture they formed in 2011 for the sourcing and marketing of gas",neutral,0.7860978
12,2018-01-19,Reliance Industries earnings today: Key things to watch out,news-article,http://www.livemint.com/Companies/gXI8ur8IzFIOZDhs1JnyAN/Reliance-Industries-earnings-today-Key-things-to-watch-out.html,"Reliance Industries is expected to report a decent set of numbers as lower refining margins will be offset by an increase in petchem volumes. The most watched out telecom business, Jio, may also report a profit",positive,0.95565295
13,2018-01-20,Trai IUC cut drives Reliance Industries’ Q3 profit growth,news-article,http://www.livemint.com/Money/SzLgmkDwORb3ONSMXdkJuM/Trais-IUC-cut-drives-Reliance-Industriess-Q3-profit-growth.html,Such is the extent of Reliance Jio’s savings from the IUC cut that they have even driven profit growth at parent Reliance Industries in Q3,positive,0.9376263
14,2018-01-22,RIL shares jump over 3% on record net profit,news-article,http://www.thehindubusinessline.com/markets/stock-markets/ril-shares-jump-over-3-on-record-net-profit/article10045782.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,"Shares of Reliance Industries Ltd jumped as much as 3.1 per cent to Rs 958, as the com",positive,0.9288515
15,2018-01-24,"TCS becomes second Indian firm to cross Rs 6 lakh crore mcap mark, pips Reliance Industries briefly | TCS market cap crosses Rs 6 trillion, surpasses Reliance Industries",news-article | news-article,http://www.businesstoday.in/markets/company-stock/tcs-market-indian-firm-mcap-mark-pips-reliance-industries-briefly/story/268728.html | http://www.business-standard.com/article/markets/tcs-market-cap-crosses-rs-6-trillion-surpasses-reliance-industries-118012400271_1.html,"Tata Consultancy Services (TCS) on Wednesday crossed market capitalisation of Rs 6 lakh crore for the first time ever on BSE and NSE. The Mumbai-based firm is the second Indian firm to achieve this feat with Mukesh Ambani-led Reliance Industries Ltd (R | TCS was trading 4% higher at Rs 3,229, have a market-cap of Rs 6.18 trillion, surpassed RIL, which has market-cap of Rs 6.14 trillion at 10:10 AM, the BSE data shows.",positive,0.9046663
16,2018-01-25,Tata Consultancy Services' m-cap crosses Rs 6 trillion; shares gain 2.3%,news-article,http://www.business-standard.com/article/companies/tata-consultancy-services-m-cap-crosses-rs-6-trillion-shares-gain-2-3-118012401440_1.html,"TCS, Reliance Industries only 5% shy of becoming first to reach coveted milestone of $100 billion m-cap",positive,0.8211459
17,2018-01-30,Mukesh Ambani’s army of expats at Jio | TCS maintains lead over RIL in terms of market capitalisation,news-article | news-article,http://www.livemint.com/Industry/lHFD4WXCoWs4BPdiYgdFKJ/Mukesh-Ambanis-army-of-expats-at-Jio.html | http://www.businesstoday.in/markets/company-stock/tcs-market-cap-reliance-industries-tcs-net-profit/story/269101.html,"Over the past six years, Reliance Industries has hired many expats to innovate and differentiate at the world’s fastest-growing telco | Mumbai-based Tata Consultancy Services (TCS) maintained its lead over market heavyweight Reliance Industries (RIL) in terms of market capitalisation on Tuesday. The Tata Group subsidiary which surpassed RIL to become the country's most valued firm in t",positive,0.90767264
18,2018-02-03,"Mukesh Ambani says Reliance to invest Rs2,500 crore in Assam, create 80,000 jobs",news-article,http://www.livemint.com/Companies/9YNUdlysUfmCHMJttaArsL/Mukesh-Ambani-says-Reliance-to-invest-Rs2500-crore-in-Assam.html,"Mukesh Ambani says Reliance Industries will investment of Rs2,500 crore in Assam in various sectors, including retail, petroleum, telecom, tourism and sports, over the next three years",neutral,0.5217276
19,2018-02-05,Reliance Industries emerges sole contender to acquire stake in JBF Industries,news-article,http://www.livemint.com/Industry/heHyiUVLG806xv37Ltfm5M/Reliance-Industries-emerges-sole-contender-to-acquire-stake.html,"If the transaction goes ahead, Reliance Industries will acquire a controlling stake in the Singapore subsidiary of JBF while the domestic operations of JBF group will remain with the promoters of the company",neutral,0.9450104
20,2018-02-06,"India Gas Solutions, a RIL-BP joint venture, names Vinod Thailiani as CEO",news-article,http://www.business-standard.com/article/companies/india-gas-solutions-a-ril-bp-joint-venture-names-vinod-thailiani-as-ceo-118020500819_1.html,"India Gas Solutions (IGS), a BP and Reliance Industries (RIL) joint venture on Monday announced the appointment of Vinod Tahiliani as chief executive officer. Tahiliani was earlier vice president, Strategy & Commercial for BP India.""Tahiliani has",neutral,0.9295901
21,2018-02-08,Will Reliance Industries push change the pecking order for Viacom18?,news-article,http://www.livemint.com/Opinion/vkQgApZdmfX8QfKss6Ex3N/Will-Reliance-Industries-push-change-the-pecking-order-for-V.html,"With the 51% stake in Viacom18, Reliance Industries is now a serious contender in media and entertainment",positive,0.78896487
22,2018-02-15,"Buy Reliance Industries, Ceat, Bajaj Finance: Ashwani Gujral",news-article,http://www.moneycontrol.com/news/business/buy-reliance-industries-ceat-bajaj-finance-ashwani-gujral-2508669.html,"Ashwani Gujral of ashwanigujral.com recommends buying Reliance Industries, Ceat and Bajaj Finance.",neutral,0.92775863
23,2018-02-17,Reliance subsidiary buys 65% in Maker Group firm,news-article,http://www.livemint.com/Companies/WEcb0b0mxZUgHcVZdx6APL/Reliance-subsidiary-buys-65-in-Maker-Group-firm.html,"Reliance Industrial Investments and Holdings will buy a 65% stake in the Indian Film Combine for Rs1,105 crore, Reliance Industries said Friday",neutral,0.8976703
24,2018-02-19,"Reliance Industries plans Rs60,000 crore integrated industrial area in Maharashtra",news-article,http://www.livemint.com/Companies/CKW84rgbNtBY1mncVBXAKK/RILplansRs60000-cr-integrated-industrial-area-in-Maharash.html,Reliance Industries and its global partners will invest funds in the integrated industrial area in Maharashtra over next  the 10 years,positive,0.6488313
25,2018-02-21,"UP investors summit: RIL to invest Rs10,000 crore over next 3 years, says Mukesh Ambani | Jio has created 40,000 jobs in Uttar Pradesh: Full text of RIL chief Mukesh Ambani's address at UP Summit 2018",news-article | news-article,http://www.livemint.com/Companies/I1uamAfCMz61aU9fmYJnuN/UP-investors-summit-RIL-to-invest-Rs10000-crore-over-next.html | http://www.moneycontrol.com/news/business/jio-has-created-40000-jobs-in-uttar-pradesh-full-text-of-ril-chief-mukesh-ambanis-address-at-up-summit-2018-2512625.html,"Reliance Industries will invest Rs10,000 crore in Uttar Pradesh over the next 3 years, CMD Mukesh Ambani said at the Uttar Pradesh Investors’ Summit | Below is the full text of the address of Reliance Industries chief Mukesh D Ambani at Day 1 of the Uttar Pradesh Investors' Summit 2018.",neutral,0.9523158
26,2018-02-22,December quarter a mixed bag! Top 5 stocks which saw maximum upgrade in FY19 EPS,news-article,http://www.moneycontrol.com/news/business/stocks/december-quarter-a-mixed-bag-top-5-stocks-which-saw-maximum-upgrade-in-fy19-eps-2512641.html,"On upgrades/downgrades post earnings, the research house said telecom, auto exports and PSU banks were the ones which witnessed deep cuts in FY19 consensus earnings estimates, while Reliance Industries, metals saw an upgrade in FY19 earnings estimates.",positive,0.66339713
27,2018-02-23,UP Investors Summit: Lucknow 'makeup' cost over Rs 650 million to Yogi govt,news-article,http://www.business-standard.com/article/current-affairs/up-investors-summit-lucknow-makeup-cost-over-rs-650-million-to-yogi-govt-118022300538_1.html,Reliance Industries chairman Mukesh Ambani in his address on the inaugural day noted he had never seen any city decked up so strikingly as Lucknow,positive,0.5611714
28,2018-02-26,"Andhra Pradesh govt inks 364 MoUs for Rs 2.18 lakh crore investment; Reliance promises Rs 52,000 crore",news-article,https://www.businesstoday.in/current/corporate/andhra-pradesh-investment-reliance-chandrababu-naidu-amaravati/story/271464.html,"Giving a boost to Andhra Pradesh in its efforts to garner big ticket investments that could spur job creation, Reliance Industries Limited on Sunday inked two agreements with the state government promising a total investment of Rs 52,000 crore in oil and",positive,0.94206274
29,2018-02-27,"RIL, BP’s Rs40,000 crore investment plan in KG-D6 approved",news-article,http://www.livemint.com/Industry/auqnCna4wwbcgFla8KfxjL/Reliance-BPs-Rs40000-crore-investment-plan-in-KGD6-approv.html,Reliance Industries and BP plc aim to develop three sets of natural gas discoveries in the KG-D6 block of the Godavari basin in the Bay of Bengal,positive,0.6784741
30,2018-02-28,Reliance Industries may shut KG Block’s MA Field,news-article,https://economictimes.indiatimes.com/industry/energy/oil-gas/reliance-industries-may-shut-kg-blocks-ma-field/articleshow/63104934.cms,MA is one of the three fields currently producing in RIL-BP's KG block and the only one that produces both oil and gas. D1 and D2 are the other two fields producing only gas.,neutral,0.950726
31,2018-03-06,Reliance Industries’ Rs1.3 trillion non-core spending seen diluting return on capital,news-article,http://www.livemint.com/Companies/iSscqEaRtrws8HuHM88IMK/Reliance-Industries-Rs13-trillion-noncore-spending-seen-d.html,"Returns may rise in single digits, but even this may be optimistic if Reliance Industries starts spending again, say analysts",positive,0.94419307
32,2018-03-13,Reliance Industries seeks collaboration with Estonia for e-governance solutions,news-article,https://economictimes.indiatimes.com/industry/energy/oil-gas/reliance-industries-seeks-collaboration-with-estonia-for-e-governance-solutions/articleshow/63283741.cms,"The e-Residency programme to offer startups access to a govt-issued digital ID, thereby, enabling a global EU company to work from anywhere in the world.",positive,0.67870086
33,2018-03-16,Nokia handset maker HMD aims to be in top five in India,news-article,https://economictimes.indiatimes.com/tech/hardware/nokia-handset-maker-hmd-aims-to-be-in-top-five-in-india/articleshow/63327286.cms,"HMD Global plans to launch the 4G feature phone in collaboration with a telecom operator in May in India, which will pit it directly against Reliance Industries JioPhone.",neutral,0.6891605
34,2018-03-17,Mukesh Ambani credits daughter Isha for RJio,news-article,https://www.thehindubusinessline.com/info-tech/mukesh-ambani-credits-daughter-isha-for-rjio/article23273630.ece?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_syndication,"India will be a leader in 4G in 2019, says Reliance Industries CMD",positive,0.849027
35,2018-03-23,Domestic natural gas prices all set to rise to the highest level in 2 years,news-article,http://www.business-standard.com/article/economy-policy/domestic-natural-gas-prices-all-set-to-rise-to-the-highest-level-in-2-years-118032200809_1.html,"The increase in price will boost earnings of producers like Oil and Natural Gas Corp (ONGC) and Reliance Industries but will also lead to a rise in CNG price, which uses natural gas as input",positive,0.9458409
36,2018-03-24,Reliance signs deal to merge JioMusic with Saavn,news-article,https://www.livemint.com/Companies/yixgPO0Ml0PdswPysSIM9N/Reliance-Jio-Saavn-to-create-1-bn-digital-music-platform.html,Reliance Industries and Saavn have signed a deal for the combination of Saavn with JioMusic to create a global online music streaming platform,positive,0.9030374
37,2018-03-28,Reliance Industries to sell part of Eagle Ford shale assets for $100 million,news-article,https://www.livemint.com/Companies/pyTOXYcLTt0Nc2WB0i386N/Reliance-Industries-to-sell-part-of-Eagle-Ford-shale-assets.html,"The sale involves certain acreage, producing wells and related assets in the western portion of its Eagle Ford shale position, says Reliance Industries",neutral,0.8922872
38,2018-03-29,"India raises prices for locally-produced natural gas by 6% | RIL, JM Fin ARC said to have made joint bid for Alok",news-article | news-article,https://economictimes.indiatimes.com/industry/energy/oil-gas/india-raises-prices-for-locally-produced-natural-gas/articleshow/63527618.cms | https://economictimes.indiatimes.com/markets/stocks/news/ril-jm-fin-arc-said-to-have-made-joint-bid-for-alok/articleshow/63526895.cms,"Rise in price of natural gas would boost profits of producers such as ONGC, Oil India and Reliance Industries but hurt gas consuming households, transporters and factories. | Reliance Industries had shown interest in acquiring certain units of Alok Industries in November.",positive,0.81841725
39,2018-03-30,"Reliance Industries, BP India put Cambay oil and gas block on sale",news-article,https://www.livemint.com/Industry/1s2i8Rcbt3EEKWEphMawfJ/Reliance-Industries-BP-India-put-Cambay-oil-and-gas-block-o.html,ONGC is said to have seen the Cambay oil and gas block’s data but is yet to take a call on whether to bid for the RIL and BP asset,neutral,0.9324238
40,2018-04-04,Jio Payments Bank begin operations,news-article,https://www.livemint.com/Industry/pjwXfs1QDAZwXhS8ZJdLuL/Jio-Payments-Bank-begins-operations.html,Reliance Industries Ltd was one of the 11 applicants which were issued in-principle approval for setting up a payments bank in August 2015 after which Jio Payments Bank started operations from Tuesday,neutral,0.8649911
41,2018-04-05,Jio Payments Bank launched: Here's what you should know,news-article,https://www.businesstoday.in/sectors/banks/jio-payments-bank-account-payment-paytm-airtel-sbi-reliance/story/274064.html,"A 70:30 joint venture between Reliance Industries and the State Bank of India, Jio Payments Bank will be competing against more established players like the two-year-old Airtel Payments Bank, Paytm founder Vijay Shekhar Sharma-promoted Paytm Payments Bank",positive,0.7345471
42,2018-04-09,Aramco takes step to integrating petrochems into US biggest refinery,news-article,http://www.business-standard.com/article/international/aramco-takes-step-to-integrating-petrochems-into-us-biggest-refinery-118040800360_1.html,"The 1.2-million bpd Reliance Industries refinery in Jamnagar, India, has the world's largest crude oil processing capacity",neutral,0.64262044
43,2018-04-11,"ONGC, Reliance in talks with customers to sell east coast gas",news-article,https://www.livemint.com/Companies/i3gW0kUICW3DPA5Le6KhwK/ONGC-Reliance-in-talks-with-customers-to-sell-east-coast-ga.html,"ONGC, Reliance Industries have started discussions with buyers to sell natural gas from their fields in the Bay of Bengal that are expected to start production over the next three years",positive,0.85506105
44,2018-04-12,"RIL, JM Financial bid jointly for Alok Industries | Reliance absorbs 3 units that own Jio apps, to build single media team",news-article | news-article,https://www.livemint.com/Companies/UutbLI9UF0cGterEtNlvvI/RIL-JM-Financial-bid-jointly-for-Alok-Industries.html | https://www.livemint.com/Companies/LNqOZm3DYjFpJz4OSzeigL/Reliance-absorbs-3-units-that-own-Jio-apps-to-build-single.html,"Reliance Industries (RIL) has bid jointly with JM Financial Asset Reconstruction Co. to acquire the debt ridden textile manufacturer Alok Industries | Reliance Industries has subsumed Reliance Jio Digital Services, Reliance Jio Media and Reliance Jio Messaging Services in an endeavour to make Reliance Jio a pure telecom company",neutral,0.59506595
45,2018-04-13,"Telecom industry revenues to dip 9% in FY19: Deutsche Bank | Reliance Jio may roil broadband this year as CLSA sees valuation boost | JM Financial, Reliance Ind buy Alok Industries",news-article | news-article | news-article,https://www.thehindubusinessline.com/markets/stock-markets/telecom-industry-revenues-to-dip-9-in-fy19/article23522376.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication | https://www.livemint.com/Companies/lkV78tsoSaCjP2I7ResbjL/Reliance-Jio-may-roil-broadband-this-year-as-CLSA-sees-valua.html | https://www.thehindubusinessline.com/news/jm-financial-reliance-ind-buy-alok-industries/article23515893.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication,"Telecom industry revenues will decline by 9 per cent to $21.6 billion in FY19 as incumbents continue to calibrate offers to match the plans of Reliance Industries Ltd's telecom unit, Jio, according to | Reliance Jio’s new broadband service may add $5 billion to parent company Reliance Industries (RIL) valuation, according to CLSA India | Reliance Industries along with JM Financial Asset Reconstruction has acquired the debt-laden textile company Alok Industries in a National Company Law Tribunal-driven debt resolution process.Resolutio",negative,0.968387
46,2018-04-14,"Reliance Jio raises about Rs3,250 crore from Japanese banks to fund capex",news-article,https://www.livemint.com/Companies/jRw1EdaAjZWN3WsWxTrArN/Reliance-Jio-raises-about-Rs3250-crore-from-Japanese-banks.html,"Reliance Jio says has raised $498.5 million  from Japan’s MUFG , Mizuho Bank and Sumitomo Mitsui in debt. The facility is guaranteed by Reliance Industries",neutral,0.8363579
47,2018-04-16,CoC yet to approve resolution plans: Alok Industries | Lenders reject RIL and JM Financial’s bid for Alok Industries,news-article | news-article,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/coc-yet-to-approve-resolution-plans-alok-industries/articleshow/63782042.cms | https://www.livemint.com/Companies/rZGr6LdKkXVUS1w6eZP9QK/RIL-JM-Financial-bid-to-acquire-Alok-Industries-rejected.html,"Reliance Industries, which had submitted a resolution plan along with JM Financial Asset Reconstruction Company for Alok Industries, had informed that its bid has been rejected by the CoC. | The reason for rejection of Reliance Industries and JM Financial’s joint bid for Alok Industries and the next course of action for the bankrupt firm were not known immediately",neutral,0.5361422
48,2018-04-19,"BP, RIL announce sanctioning of `Satellite cluster’ project in KG-D6 Block",news-article,http://www.thehindu.com/business/Industry/bp-ril-announce-sanctioning-of-satellite-cluster-project-in-kgd6-block/article23601792.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication,BP and Reliance Industries Limited (RIL) have announced the sanctioning of the ‘Satellite cluster’ project in Block KG-D6.The ‘Satellite cluster’ is the second of three projects in the Block KG D6 int,neutral,0.826114
49,2018-04-20,BP and RIL sanction second phase of integrated KG-D6 development,news-article,http://www.business-standard.com/article/companies/bp-and-ril-sanction-second-phase-of-integrated-kg-d6-development-118041900818_1.html,"Mukesh Ambani's Reliance Industries (RIL) and global energy major BP said the two companies had sanctioned the second phase of integrated development for their D6 oil and gas block in the Krishna-Godavari (KG) basin.""The companies are moving forward",positive,0.8979375
50,2018-04-27,"Reliance Industries posts record profit of Rs9,435 crore in Q4 | RIL net profit expected to touch Rs10,000 crore in Q4 | Will RIL, Maruti Suzuki beat street expectation? | Reliance Industries ushers in cultural change with HR moves",news-article | news-article | news-article | news-article,https://www.livemint.com/Companies/sge9UxR63XOkyjPWYwvgcI/Reliance-Industries-Q4-profit-rises-173-to-Rs9435-crore.html | https://www.livemint.com/Companies/g7qUY5Cj40JQoM9JaxDseP/RIL-net-profit-expected-to-touch-Rs10000-crore-in-Q4.html | https://www.thehindubusinessline.com/markets/stock-markets/will-ril-maruti-suzuki-beat-street-expectation/article23685008.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication | https://economictimes.indiatimes.com/news/company/corporate-trends/reliance-industries-ushers-in-cultural-change-with-hr-moves/articleshow/63937219.cms,"Reliance Industries net profit of Rs9,435 crore, or Rs 15.9 per share, in January-March was 17.3% higher than Rs8,046 crore, or Rs13.6 a share, posted in the same period a year ago | Reliance Industries is expected to report a net profit of Rs193.47 billion, on the back of revenues worth Rs1.16 trillion for the quarter ended 31 March, according to a Bloomberg  poll of several analysts |  Index heavyweights Reliance Industries and Maruti Suzuki will declare their fourth quarter and full-year numbers on Friday. Analysts expect Reliance to report a 5 per cent y-o-y growth in profit on s | RILs disruptive entry into consumer-facing businesses like telecom (Jio) could have played a role in accelerating these changes.",positive,0.92522293
51,2018-04-28,"News digest: RIL Q4 results, Bank stocks rally, Hindi audiences, and more",news-article,http://www.business-standard.com/article/current-affairs/news-digest-ril-q4-results-bank-stocks-rally-hindi-audiences-and-more-118042800081_1.html,Mukesh Ambani-led Reliance Industries (RIL) reported a consolidated net profit of Rs 94.35 billion for the quarter ending March 31 (Q4),neutral,0.8117872
52,2018-04-29,CBM key for Reliance Industries till R-Series goes on stream,news-article,http://www.business-standard.com/article/companies/cbm-key-for-reliance-industries-till-r-series-goes-on-stream-118042900027_1.html,RIL said the marginal rise in revenue for the oil and gas segment in the last financial year was because of increased CBM production,negative,0.51793075
53,2018-04-30,"70 stocks hit fresh 52-week lows on NSE on Monday | Reliance Ind plans to shut oil, gas fields in KG-D6 block | Reliance Industries falls 3% | Reliance Industries falls over 2% post Q4 earnings results",news-article | news-article | news-article | news-article,https://economictimes.indiatimes.com/markets/stocks/news/70-stocks-hit-fresh-52-week-lows-on-nse-on-monday/articleshow/63974303.cms | https://www.thehindubusinessline.com/companies/reliance-ind-plans-to-shut-oil-gas-fields-in-kg-d6-block/article23721436.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication | https://www.thehindubusinessline.com/markets/stock-markets/reliance-industries-shares-fall-3/article23725763.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication | http://www.business-standard.com/article/markets/reliance-industries-falls-over-2-post-q4-earnings-results-118043000120_1.html,"Axis Bank, Reliance Industries and UPL remained the top losers in the Nifty pack of stocks on Monday. | Reliance Industries plans to shut oil and gas production at its main fields in KG-D6 block in the coming months and begin complying with the government’s guidelines for decommissioning facilities in t | Oil-to-retail conglomerate Reliance Industries Ltd’s shares fell as much as 3.3 per cent to Rs 961.10 on the BSE. Though Reliance Jio reported second straight quarterly profit on Friday, the average r | The company reported a consolidated net profit of Rs 94.35 billion for the quarter ending March 31",negative,0.97267365
54,2018-05-01,"BS-VI fuel to be available in NCR by 1 April 2019: Govt to SC | RIL falls 3%, Jio ARPU a concern",news-article | news-article,https://www.livemint.com/Politics/FDfNr5vNFeyDYz66sOyhAI/BSVI-fuel-to-be-available-in-NCR-by-1-April-2019-Govt-to-S.html | http://www.thehindu.com/business/ril-falls-3-jio-arpu-a-concern/article23732322.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication,"The government consulted Indian Oil, Bharat Petroleum, Reliance Industries, Hindustan Petroleum, and Essar Oil before submitting the affidavit in court | Shares of Reliance Industries Ltd. (RIL) declined more than 3% on Monday amid investor concern over the operational performance at the conglomerate’s Jio telecom unit. RIL on Friday reported a 17.3% i",negative,0.97547364
55,2018-05-03,RJio unveils AI-based video platform ‘JioInteract’,news-article,https://www.thehindubusinessline.com/info-tech/rjio-unveils-ai-based-video-platform-jiointeract/article23763481.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication,"Reliance Jio Infocomm (RJio), a wholly-owned subsidiary of Reliance Industries Ltd (RIL), has launched ‘JioInteract’, an Artificial Intelligence-based brand-engagement video platform.“With RJio’s base",neutral,0.6774583
56,2018-05-10,RJio launches ‘JioPostpaid’ unlimited plan,news-article,https://www.thehindubusinessline.com/info-tech/rjio-launches-jiopostpaid-unlimited-plan/article23840664.ece?utm_source=rss_feed&utm_medium=referral&utm_campaign=rss_syndication,"Reliance Jio Infocomm (RJio), a wholly-owned subsidiary of Reliance Industries, is set to launch a post-paid tariff plan of ₹199 per month offering 25 GB data. The plan, ‘JioPostpaid’, offers free voi",neutral,0.63962364
57,2018-05-13,"Nine of top 10 most valued firms add Rs 65,129 crore to m-cap",news-article,https://economictimes.indiatimes.com/markets/stocks/news/nine-of-top-10-most-valued-firms-add-rs-65129-crore-in-m-cap/articleshow/64144602.cms,"The m-cap of Reliance Industries (RIL) soared Rs 21,920.73 crore to Rs 6,26,261.50 crore.",positive,0.9438387
