date,news,Predicted Sentiment,Sentiment Probability,aspect_labelling
2019-10-29,"On Tuesday, the stock price of AHEL came down by Rs 97.80 to end the day at Rs 1,430.85 per share",negative,0.9671975,[[]]
2019-10-30,"AHEL holds 100 per cent stake in AMPL, which in turn holds 100 per cent equity in APL.",neutral,0.9410522,"[[('stake', 'stock_market', 'neutral', 0.9372145533561707), ('equity', 'stock_market', 'neutral', 0.9429254531860352)]]"
2019-11-14,"The healthcare major had reported a net profit of Rs 63.5 crore in the July-September period of 2018-19. | Apollo Hospitals Enterprise Ltd (AHEL) on Thursday reported a 15 per cent growth in standalone net profit for the second quarter at Rs. 91 crore. The company posted a net profit of Rs. 79 crore for th |  Around 350 firms will declare their quarterly results for the period ended September on Thursday. These include Apollo Hospitals, Balkrishna, Bombay Rayon, CESC, DCW, Dish TV, Future Retail, Glenmark",positive,0.8686219,"[[('net profit', 'economic_indicators', 'neutral', 0.7940953373908997)], [('quarter', 'financial_performance', 'positive', 0.9379355907440186), ('net profit', 'economic_indicators', 'positive', 0.9315746426582336), ('Apollo Hospitals', 'companies', 'neutral', 0.9435188174247742), ('net profit', 'economic_indicators', 'neutral', 0.7148247957229614)], [('Apollo Hospitals', 'companies', 'neutral', 0.9213547706604004)]]"
2019-11-17,"The promoter group shareholding in AHEL was around 30.80 per cent at the end of September, 2019, of which around 66.19 per cent is pledged, according to regulatory filing",neutral,0.952958,"[[('shareholding', 'stock_market', 'neutral', 0.949526846408844)]]"
2019-11-20,"While maintaining buy call on the stock, Nomura raised its target price to Rs 1,787 (from Rs 1,693 earlier), implying 27 percent potential upside from current levels.",positive,0.95257664,[[]]
2019-12-09,Ferid Murad will do joint research with Apollo Hospitals,neutral,0.920894,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9208940267562866)]]"
2019-12-16,"Apollo Hospitals has one of the best integrated business models in the healthcare space. A calibrated improvement in margins, return ratios on the back of effective utilisation of existing and new hospitals has made the company analysts' favourite.",positive,0.9593062,"[[('Apollo Hospitals', 'companies', 'positive', 0.7664403319358826)]]"
2019-12-19,"The unit will offer patients with complex cardiac disease treatment | The technology of the da Vinci Xi allows complex cardiovascular surgeries to be performed through smaller incisions and precise motion control, as compared to conventional open heart surgery, which involves opening up the chest by splitting the breastplate.",neutral,0.76518923,"[[], []]"
2019-12-20,"Bengaluru (Karnataka) [India], Dec 20 (ANI/NewsVoir): Apollo Hospitals Bangalore, one of the most advanced multi-specialty tertiary care hospitals in the city and part of the Apollo Hospitals Group today announced the launch of the first dedicated robot-assisted cardiac surgery unit in India.",positive,0.88422006,"[[('Apollo Hospitals', 'companies', 'positive', 0.7345289587974548)]]"
2019-12-23,"Sangita Reddy, Joint Managing Director, Apollo Hospitals Group, has taken over as the President of industry chamber FICCI for 2019-20. She succeeds Sandip Somany, Vice-Chairman and Managing Director,",neutral,0.94187754,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9440739750862122)]]"
2019-12-28,"Apollo Hospitals Group MD Suneeta Reddy said, ""The prognosis is positive.""",positive,0.8512762,"[[('Apollo Hospitals', 'companies', 'neutral', 0.5576758980751038)]]"
2019-12-31,"The Stock of Apollo Hospitals had a volatile year. It registered a 52-week low of ₹1,083.1 in February. But after that, the stock started to rally and marked its lifetime high of ₹1,579.7 in September",negative,0.9525626,"[[('volatile', 'stock_market', 'negative', 0.9680721163749695), ('Apollo Hospitals', 'companies', 'negative', 0.9680721163749695)]]"
2020-01-02,"The acquisition of shares by HDFC is expected to be completed by January 9, 2020, said AHEL | HDFC has agreed to acquire 50.8% stake of Apollo Hospitals Group in Apollo Munich Health Insurance for  ₹1,336 crore.Out of the proceeds, around  ₹1,036 crore will go to Apollo’s promoters, while Apollo Hospitals will receive  ₹300 crore | HDFC will acquire 50.8 per cent from the Apollo Hospitals group for Rs 1,336 crore and will buy out the 0.4 per cent stake being held by the employees for Rs 10.84 crore. Besides, the German insurer Munich Health will pay Rs 294 crore to Apollo Hospitals Enterprise and Apollo Energy for terminating their joint venture.  | HDFC will acquire 50.8 per cent from the Apollo Hospitals group for Rs 1,336 crore | HDFC will acquire 50.8% from the Apollo Hospitals group for Rs 1,336 crore and will buy out the 0.4% stake being held by the employees for Rs 10.84 crore | The stock price has seen a steady rise in the last one year and was quoting at Rs 1,480.95, up Rs 54.05, or 3.79 percent. | In June 2019, HDFC had signed agreement with Apollo Hospitals Group to acquire its 51.2 per cent stake in the health insurance company for Rs 1,347 crore | “We further wish to inform you that in accordance with the SPA, the acquisition of shares by HDFC is expected to be completed by January 9, 2020,” the company added. | Apollo Hospitals, in June 2019, had accorded the sale of the entire 9.96 per cent equity stake held by it in Apollo Munich Health Insurance Company Ltd.",neutral,0.49511623,"[[('stake', 'stock_market', 'neutral', 0.942848265171051), ('Apollo Hospitals', 'companies', 'neutral', 0.9130926728248596)], [('stake', 'stock_market', 'neutral', 0.9173474907875061), ('Apollo Hospitals', 'companies', 'positive', 0.8195794820785522)], [('shares', 'stock_market', 'neutral', 0.8928061127662659)], [('stake', 'stock_market', 'neutral', 0.9533615112304688), ('equity', 'stock_market', 'neutral', 0.9525725245475769), ('Apollo Hospitals', 'companies', 'positive', 0.7694429159164429)], [('stake', 'stock_market', 'neutral', 0.856985330581665), ('Apollo Hospitals', 'companies', 'neutral', 0.8069366216659546), ('Apollo Hospitals', 'companies', 'neutral', 0.942348062992096)], [('Apollo Hospitals', 'companies', 'neutral', 0.9279623627662659)], [('shares', 'stock_market', 'neutral', 0.8958843946456909)], [], [('stake', 'stock_market', 'neutral', 0.9433406591415405), ('Apollo Hospitals', 'companies', 'neutral', 0.9119086265563965), ('Apollo Hospitals', 'companies', 'negative', 0.6800156831741333)]]"
2020-01-08,"Apollo Hospital today has a debt of Rs 3,000 plus crore and stake sale in Apollo Munich Insurance to take care of a portion of that",neutral,0.9404013,"[[('stake', 'stock_market', 'neutral', 0.8691540956497192)]]"
2020-01-09,"HDFC bought 50.80 per cent stake of Apollo Hospitals Group in Apollo Munich for Rs 1,485.14 crore and 0.36 per cent shareholding of employees for Rs 10.67 crore",neutral,0.94359565,"[[('stake', 'stock_market', 'neutral', 0.9326490163803101), ('shareholding', 'stock_market', 'neutral', 0.9246644973754883), ('Apollo Hospitals', 'companies', 'neutral', 0.9392426609992981)]]"
2020-01-15,"Sangita Reddy, who is the joint managing director of Apollo Hospitals, also said that the government needed to focus on “clusters,” besides undertaking labour reforms, to boost manufacturing in the country. “To spur consumption, we need to put money into the system.",positive,0.7976959,"[[('Apollo Hospitals', 'companies', 'neutral', 0.85370934009552)]]"
2020-01-20,"After the Government of Madhya Pradesh served a show-cause notice to Nestle’s arm to explain the company’s participation in a nutrition conference organised by Apollo Hospitals in Indore, many eyebrow",negative,0.68365735,"[[('Apollo Hospitals', 'companies', 'neutral', 0.7402632236480713)]]"
2020-01-21,"Card offers no-cost EMI, ₹4-lakh credit limit and complimentary insurance cover | Commenting on plans to reduce promoter pledged shares, Reddy said that while they would be brought down to around 28 per cent by the end of the current quarter",negative,0.9468297,"[[('shares', 'stock_market', 'negative', 0.7027923464775085), ('quarter', 'financial_performance', 'neutral', 0.8059431910514832)], []]"
2020-02-13,"Declares ₹3.25 interim dividend | Apollo Hospitals Enterprise Ltd (AHEL) on Thursday reported a 9 per cent growth in standalone net profit for the third quarter at ₹95 crore compared to ₹ 87 crore for the corresponding period last yea | Total income grew 16.5 per cent to Rs 2921.40 crore during the quarter, as against Rs 2507.53 crore in the same period of previous year | The consolidated total income for the quarter under review grew to Rs 2,921.40 crore from Rs 2,507.53 crore registered the same period a year ago | Consolidated revenue from operations rises to Rs2,911.74 crore for the December quarter.The company's board declares an interim dividend of Rs3.25 per equity share of Rs5 each for the financial year ending March 31, 2020 | Stocks to watch today on February 13: YES Bank, RIL, IRCTC, Adani Transmission, BP, Lux, Nestle, Page Industries, Apollo Hospitals, Bajaj Healthcare, PC Jeweller, Ashok Leyland, Torrent Power among others are the top stocks to watch out for in Thursday's trading session | BPCL, Vodafone Idea, Apollo Hospitals Enterprise, Adani Transmission, Mawana Sugars, Gujarat State Petronet, Asian Granito India, KNR Constructions will release their December quarter numbers today.",positive,0.9355327,"[[('quarter', 'financial_performance', 'positive', 0.9422274827957153), ('net profit', 'economic_indicators', 'positive', 0.9389823079109192), ('Apollo Hospitals', 'companies', 'neutral', 0.9435188174247742)], [('quarter', 'financial_performance', 'neutral', 0.8904512524604797), ('Apollo Hospitals', 'companies', 'neutral', 0.9313607811927795)], [('quarter', 'financial_performance', 'positive', 0.8752374053001404)], [('quarter', 'financial_performance', 'positive', 0.8837177753448486), ('equity', 'stock_market', 'neutral', 0.832998514175415), ('dividend', 'financial_performance', 'neutral', 0.6814024448394775)], [('stocks', 'stock_market', 'neutral', 0.9251623749732971), ('Apollo Hospitals', 'companies', 'neutral', 0.9401073455810547)], [('dividend', 'financial_performance', 'neutral', 0.8645239472389221)], [('quarter', 'financial_performance', 'positive', 0.8960391879081726)]]"
2020-02-21,Shares of over one dozen companies will turn ex-dividend on Tuesday. Investors wishing to receive dividend from these companies need to own the shares by Monday. The companies are: Apollo Hospitals (₹,neutral,0.9542618,"[[('shares', 'stock_market', 'neutral', 0.8634354472160339), ('dividend', 'financial_performance', 'neutral', 0.8827694058418274), ('shares', 'stock_market', 'neutral', 0.9560078978538513), ('dividend', 'financial_performance', 'neutral', 0.9492573142051697), ('Apollo Hospitals', 'companies', 'neutral', 0.9167337417602539)]]"
2020-02-24,"Apollo Gleneagles, Kolkata, is a 50:50 joint venture between Apollo Hospitals and the Parkway Group, which is a part of IHH | The largest listed player in this space, Apollo Hospitals, has been a standout performer with growth being led by both hospitals and pharmacy businesses.",positive,0.91953146,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8882393836975098)], [('Apollo Hospitals', 'companies', 'positive', 0.9385273456573486)]]"
2020-02-25," Apollo Hospitals has launched Amazon Alexa Skill - Ask Apollo that enables its users to access over 5,000 super-specialty and multispecialty doctors spread across 72 Apollo Hospitals throughout the c | The service will connect users to over 3,500 super-specialty and multi-specialty doctors at 72 Apollo Hospitals, and enable them to choose Apollo clinics and 3,500",neutral,0.81095785,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8607242107391357)], [('Apollo Hospitals', 'companies', 'neutral', 0.934678852558136)]]"
2020-02-26,"The Skill would also enable users to choose their preferred Apollo clinics and access to over 3,500 pharmacies",neutral,0.664669,[[]]
2020-03-05,"HSBC has maintained buy call on Phoenix Mills and raises target to Rs 1,110 from Rs 1,000 per share.",positive,0.9333264,[[]]
2020-03-07,"Anbazhagan (97), the seniormost DMK leader and a close friend of late party patriarch M Karunanidhi, was not keeping well for some time due to age-related ailments and was admitted to the Apollo Hospitals on February 24 after his health conditions deteriorated, Dravida Munnetra Kazhagam (DMK) chief M K Stalin said. ",negative,0.8968524,"[[('Apollo Hospitals', 'companies', 'negative', 0.7155958414077759)]]"
2020-03-23,"Apollo hospitals on Saturday rolled out its Coronavirus Risk Scan, a self-assessment test to gauge the risk level of getting the coronavirus infection.“Coronavirus Risk Scan by Apollo is designed to d",neutral,0.8906705,"[[('Apollo Hospitals', 'companies', 'neutral', 0.807360053062439)]]"
2020-03-24,"Labs at CMC, Apollo Hospitals can test for virus",neutral,0.9042488,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9042487740516663)]]"
2020-03-26,"Four testing labs already in place, 13 more to be set up; full scale testing by March-end | L aunches ‘Project Kavach’ to cover all aspects of fighting against the coronavirus | The company said its infrastructure would help to give advanced care to over 2000 COVID-19 patients a month.

",positive,0.71642363,"[[], [], []]"
2020-03-27,"Even India's largest healthcare chains like Apollo Hospitals has warned about the ""total crash of the system"" if government doesn't step in .",negative,0.9525829,"[[('Apollo Hospitals', 'companies', 'negative', 0.9508956074714661)]]"
2020-03-30,"Firms to set up isolation rooms, led by Apollo Hospitals",neutral,0.8435206,"[[('Apollo Hospitals', 'companies', 'neutral', 0.6768901348114014)]]"
2020-03-31,"Joining hands with partners including HUL, SBI and OYO, Apollo Hospitals plans to scale this capacity to up to 5,000 rooms where patients can stay in isolation.",positive,0.83415884,"[[('Apollo Hospitals', 'companies', 'positive', 0.8616483211517334)]]"
2020-04-05,"FY20/21/22e Ebitda down 4.1/15.1/4.5%; TP cut to Rs 1,550; ‘Buy’ maintained.",negative,0.97282,[[]]
2020-04-13,"Though the service would be limited to Airtel Thanks users as of now, more such apps are expected to be launched by other telecom operators | Apollo 24/7, the digital arm of Apollo Hospitals Group, on Monday launched a free digital self-assessment test on the Sunil Mittal-led telcos Airtel Thanks app that will allow Airtel customers to check their Covid19 risk profile. The test allow users to do this by answering a few questions.",neutral,0.8891208,"[[], [('Apollo Hospitals', 'companies', 'neutral', 0.9310398101806641)]]"
2020-04-20,"Covid-19 is a disruptor but Apollo’s long term outlook remains promising, said CLSA.",positive,0.77312255,[[]]
2020-04-21,"Ashwani Gujral of ashwanigujral.com recommends buying Apollo Hospitals with a stop loss of Rs 1,400, target at Rs 1,510 and Sun Pharma with a stop loss of Rs 465, target at Rs 490. | The analyst suggested a stoploss at Rs 1418 .",neutral,0.87692726,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8932590484619141)], []]"
2020-04-23,"Around 10 robots of Milagrow are already in operation in several hospitals in Delhi NCR including Indraprastha Apollo Hospitals and Fortis Hospitals, Shalimarbagh.",neutral,0.8077525,"[[('Apollo Hospitals', 'companies', 'neutral', 0.889480710029602)]]"
2020-04-24,"“One of them was a septuagenarian, while the other was a 56- year-old man. While the former died at the Rajiv Gandhi Government General Hospital in Chennai, the woman failed to respond to treatment at Apollo Hospitals,” an official said.",negative,0.74963665,"[[('Apollo Hospitals', 'companies', 'negative', 0.8610839247703552)]]"
2020-05-06,"AB-PMJAY has over 21,300 hospitals, including Apollo Hospitals Enterprise and HCG in Andhra Pradesh, HCG, and Wockhardt Hospital in Maharashtra, Paras Global Hospital in Bihar, and Sir Ganga Ram and Medanta the Healthcare in Delhi NCR.",neutral,0.9172689,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9069979190826416)]]"
2020-05-07,"ICICI SecuritiesApollo Hospitals (Buy)CMP: ₹1,302.65Target: ₹1,666Apollo Hospitals Enterprise, in our view, is well positioned for a speedy recovery as normalcy returns post the lifting of the lockdow",positive,0.9217432,[[]]
2020-05-08,"Ms. Reddy, vice-chairperson, Apollo Hospitals, in an interview with The Hindu, says the group has been working closely with the States and Central government and has initiated a comprehensive response plan to tackle the COVID-19 pandemic",positive,0.92038584,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9251511096954346)]]"
2020-05-14,"Shares of Apollo Hospitals Enterprise Ltd. traded 1.37 per cent up at Rs 1302.0 at 11:43AM (IST) on Thursday, even as BSE benchmark Sensex dropped 635.25 points to 31373.36. The scrip had settled at Rs 1284.45 in the previous session. The stock of Apollo Hospitals Enterprise Ltd. quoted a 52-wee…",negative,0.8939119,"[[('dropped', 'stock_market', 'negative', 0.9727856516838074), ('sensex', 'stock_market', 'negative', 0.9738161563873291), ('points', 'stock_market', 'negative', 0.9717783331871033), ('shares', 'stock_market', 'neutral', 0.9211183190345764), ('Apollo Hospitals', 'companies', 'positive', 0.9121726751327515), ('Apollo Hospitals', 'companies', 'neutral', 0.8844035863876343)]]"
2020-05-18,"She was joined by Apollo Hospitals joint MD Sangita Reddy. “The private healthcare sector has suffered with approximately Rs 12,000-crore loss. I hope the govt recognises this & extends some stimulus,” Reddy tweeted.",negative,0.9431625,"[[('Apollo Hospitals', 'companies', 'neutral', 0.9245910048484802)]]"
2020-05-30,"Impetus, similar to what was given to IT sector in its earlier early days, needs to be extended to healthcare industry so it can grow in a similarly vigorous fashion, says Apollo Hospitals’ Suneeta Reddy and Biocon’s Kiran Mazumdar-Shaw",positive,0.84932256,"[[('Apollo Hospitals', 'companies', 'positive', 0.8969681859016418)]]"
2020-06-02,"Govt of Maharashtra, has received about 28,800 RT-PCR testing kits, ICMR has received 20,160 kits and Metropolis Labs and Apollo Hospitals have been given 8,088 kits and 17,280 kits, respectively",neutral,0.6523217,"[[('Apollo Hospitals', 'companies', 'neutral', 0.8279811143875122)]]"
